GISJOIN	YEAR	STATE	STATEA	COUNTY	COUNTYA	CTY_SUB	CTY_SUBA	PLACE	PLACEA	TRACTA	SCSA	SCSAA	SMSA	SMSAA	URB_AREA	URB_AREAA	BLOCKA	CDA	AREANAME	C1W001	C1W002	C1W003	C1W004	C1W005	C1W006	C1W007	C1W008	C1W009
G25000309001	1970	Massachusetts	25	Berkshire	3					9001				6320					Tract 9001	402	158	145	23	0	0	123	48	60
G25000309002	1970	Massachusetts	25	Berkshire	3					9002				6320					Tract 9002	649	350	374	40	5	6	163	89	69
G25000309003	1970	Massachusetts	25	Berkshire	3					9003				6320					Tract 9003	361	170	265	23	8	13	74	8	48
G25000309004	1970	Massachusetts	25	Berkshire	3					9004				6320					Tract 9004	489	394	352	25	4	10	74	47	51
G25000309005	1970	Massachusetts	25	Berkshire	3					9005				6320					Tract 9005	290	142	243	25	0	9	44	6	4
G25000309006	1970	Massachusetts	25	Berkshire	3					9006				6320					Tract 9006	476	318	317	49	0	24	137	48	68
G25000309007	1970	Massachusetts	25	Berkshire	3					9007				6320					Tract 9007	326	218	196	15	5	5	38	3	9
G25000309008	1970	Massachusetts	25	Berkshire	3					9008				6320					Tract 9008	584	362	511	28	0	11	57	0	50
G25000309009	1970	Massachusetts	25	Berkshire	3					9009				6320					Tract 9009	722	417	452	38	0	0	165	45	49
G25000309010	1970	Massachusetts	25	Berkshire	3					9010				6320					Tract 9010	619	517	439	31	0	12	64	17	53
G25000309011	1970	Massachusetts	25	Berkshire	3					9011				6320					Tract 9011	596	277	375	16	0	4	51	0	19
G25000309101	1970	Massachusetts	25	Berkshire	3					9101				6320					Tract 9101	255	234	188	21	0	21	18	0	37
G25000309102	1970	Massachusetts	25	Berkshire	3					9102				6320					Tract 9102	654	513	530	40	0	9	65	34	35
G25000309103	1970	Massachusetts	25	Berkshire	3					9103				6320					Tract 9103	551	318	319	34	8	10	64	17	23
G25000309104	1970	Massachusetts	25	Berkshire	3					9104				6320					Tract 9104	489	415	425	24	6	19	90	33	73
G25000506001	1970	Massachusetts	25	Bristol	5					6001				1200					Tract 6001	459	390	412	33	0	6	88	21	37
G25000506002	1970	Massachusetts	25	Bristol	5					6002				1200					Tract 6002	436	435	340	27	5	6	31	38	47
G25000506101	1970	Massachusetts	25	Bristol	5					6101									Tract 6101	423	281	309	35	0	5	58	36	14
G25000506102	1970	Massachusetts	25	Bristol	5					6102									Tract 6102	410	429	358	13	4	0	35	29	38
G25000506111	1970	Massachusetts	25	Bristol	5					6111									Tract 6111	237	250	204	15	0	0	38	16	36
G25000506112	1970	Massachusetts	25	Bristol	5					6112									Tract 6112	459	349	301	0	0	23	28	35	21
G25000506121	1970	Massachusetts	25	Bristol	5					6121									Tract 6121	203	202	205	0	0	0	41	6	4
G25000506122	1970	Massachusetts	25	Bristol	5					6122									Tract 6122	308	331	301	0	2	5	39	5	37
G25000506131	1970	Massachusetts	25	Bristol	5					6131									Tract 6131	453	232	195	29	0	13	69	15	12
G25000506132	1970	Massachusetts	25	Bristol	5					6132									Tract 6132	17	10	16	0	0	0	5	0	5
G25000506133	1970	Massachusetts	25	Bristol	5					6133									Tract 6133	457	334	281	20	0	0	64	5	36
G25000506134	1970	Massachusetts	25	Bristol	5					6134									Tract 6134	12	4	5	0	0	0	0	0	0
G25000506135	1970	Massachusetts	25	Bristol	5					6135									Tract 6135	14	0	0	4	0	0	0	0	0
G25000506136	1970	Massachusetts	25	Bristol	5					6136									Tract 6136	519	345	275	26	7	6	117	43	59
G25000506137	1970	Massachusetts	25	Bristol	5					6137									Tract 6137	475	205	276	31	0	11	82	9	21
G25000506138	1970	Massachusetts	25	Bristol	5					6138									Tract 6138	466	321	155	25	0	15	110	30	51
G25000506139	1970	Massachusetts	25	Bristol	5					6139									Tract 6139	600	379	495	49	8	5	100	51	74
G25000506140	1970	Massachusetts	25	Bristol	5					6140									Tract 6140	440	296	260	37	0	7	91	54	86
G25000506141	1970	Massachusetts	25	Bristol	5					6141									Tract 6141	515	408	395	37	10	10	64	3	69
G25000506151	1970	Massachusetts	25	Bristol	5					6151									Tract 6151	416	300	384	24	5	10	35	6	17
