GISJOIN	YEAR	REGION	REGIONA	DIVISION	DIVISIONA	STATE	STATEA	SMSA	SMSAA	COUNTY	COUNTYA	CTY_SUB	CTY_SUBA	PLACE	PLACEA	TRACTA	BLCK_GRPA	ENUMDISTA	SCSA	SCSAA	URB_AREA	URB_AREAA	CDA	AIANHH	AIANHHA	ZIPA	AREANAME	DI1001	DI1002	DI1003	DI1004	DI1005	DI1006	DI1007	DI1008
G25000309001	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9001											State: 25 County: 003 Tract: 9001	18	87	160	466	13	53	46	55
G25000309002	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9002											State: 25 County: 003 Tract: 9002	78	123	312	587	48	62	98	44
G25000309003	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9003											State: 25 County: 003 Tract: 9003	91	83	218	460	19	29	31	13
G25000309004	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9004											State: 25 County: 003 Tract: 9004	112	119	511	641	21	29	88	50
G25000309005	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9005											State: 25 County: 003 Tract: 9005	82	60	262	445	13	7	0	0
G25000309006	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9006											State: 25 County: 003 Tract: 9006	95	82	333	480	23	74	43	25
G25000309007	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9007											State: 25 County: 003 Tract: 9007	82	69	247	409	23	9	19	13
G25000309008	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9008											State: 25 County: 003 Tract: 9008	168	133	560	801	9	0	12	12
G25000309009	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9009											State: 25 County: 003 Tract: 9009	141	150	464	799	17	48	39	32
G25000309010	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9010											State: 25 County: 003 Tract: 9010	146	145	555	797	16	22	25	11
G25000309011	1980		1		1	Massachusetts	25		6320	Berkshire	3		110		3370	9011											State: 25 County: 003 Tract: 9011	43	100	347	767	7	0	5	20
G25000309111	1980		1		1	Massachusetts	25		6320	Berkshire	3		60			9111											State: 25 County: 003 Tract: 9111	55	93	260	386	10	11	11	22
G25000309121	1980		1		1	Massachusetts	25		6320	Berkshire	3		30			9121											State: 25 County: 003 Tract: 9121	150	140	615	858	20	3	21	23
G25000309131	1980		1		1	Massachusetts	25		6320	Berkshire	3		70			9131											State: 25 County: 003 Tract: 9131	93	143	434	695	14	19	46	25
G25000309141	1980		1		1	Massachusetts	25		6320	Berkshire	3		65			9141											State: 25 County: 003 Tract: 9141	129	147	495	714	6	18	17	26
G25000309201	1980		1		1	Massachusetts	25			Berkshire	3		155			9201											State: 25 County: 003 Tract: 9201	128	167	559	983	12	8	35	13
G25000309211	1980		1		1	Massachusetts	25			Berkshire	3		95		2850	9211											State: 25 County: 003 Tract: 9211	0	6	20	47	0	8	0	22
G25000309212	1980		1		1	Massachusetts	25			Berkshire	3		95		2850	9212											State: 25 County: 003 Tract: 9212	78	134	371	640	25	33	39	60
G25000309213	1980		1		1	Massachusetts	25			Berkshire	3		95		2850	9213											State: 25 County: 003 Tract: 9213	68	163	274	721	34	35	26	33
G25000309214	1980		1		1	Massachusetts	25			Berkshire	3		95		2850	9214											State: 25 County: 003 Tract: 9214	63	34	140	303	10	20	14	0
G25000309215	1980		1		1	Massachusetts	25			Berkshire	3		95		2850	9215											State: 25 County: 003 Tract: 9215	53	100	301	570	5	34	39	24
G25000309221	1980		1		1	Massachusetts	25		6320	Berkshire	3		5		48	9221											State: 25 County: 003 Tract: 9221	51	83	170	546	16	26	18	23
G25000309222	1980		1		1	Massachusetts	25		6320	Berkshire	3		5			9222											State: 25 County: 003 Tract: 9222	57	127	307	800	0	45	11	24
G25000309223	1980		1		1	Massachusetts	25		6320	Berkshire	3		5			9223											State: 25 County: 003 Tract: 9223	0	0	0	0	0	0	0	0
G25000309231	1980		1		1	Massachusetts	25		6320	Berkshire	3		20			9231											State: 25 County: 003 Tract: 9231	63	130	255	392	7	11	12	12
G25000309241	1980		1		1	Massachusetts	25		6320	Berkshire	3		135			9241											State: 25 County: 003 Tract: 9241	29	46	197	288	7	6	13	20
G25000309251	1980		1		1	Massachusetts	25			Berkshire	3		45			9251											State: 25 County: 003 Tract: 9251	152	184	462	932	15	28	40	20
G25000309261	1980		1		1	Massachusetts	25			Berkshire	3		130			9261											State: 25 County: 003 Tract: 9261	27	43	220	392	24	0	17	11
G25000309311	1980		1		1	Massachusetts	25			Berkshire	3					9311											State: 25 County: 003 Tract: 9311	94	144	409	542	13	9	27	23
G25000309321	1980		1		1	Massachusetts	25			Berkshire	3					9321											State: 25 County: 003 Tract: 9321	133	135	314	580	22	14	42	17
G25000309331	1980		1		1	Massachusetts	25			Berkshire	3					9331											State: 25 County: 003 Tract: 9331	36	86	202	408	18	7	22	21
G25000309341	1980		1		1	Massachusetts	25			Berkshire	3					9341											State: 25 County: 003 Tract: 9341	61	99	211	444	5	12	17	20
G25000309351	1980		1		1	Massachusetts	25			Berkshire	3					9351											State: 25 County: 003 Tract: 9351	58	59	208	357	6	3	11	2
G25000506001	1980		1		1	Massachusetts	25		1200	Bristol	5		30			6001				7							State: 25 County: 005 Tract: 6001	131	149	501	670	5	5	12	40
G2500050600201	1980		1		1	Massachusetts	25		1200	Bristol	5		30			600201				7							State: 25 County: 005 Tract: 6002.01	201	236	536	471	15	7	8	7
G2500050600202	1980		1		1	Massachusetts	25		1200	Bristol	5		30			600202				7							State: 25 County: 005 Tract: 6002.02	80	81	342	520	5	0	29	16
G25000506101	1980		1		1	Massachusetts	25			Bristol	5		50		2260	6101											State: 25 County: 005 Tract: 6101	119	167	375	547	7	18	33	0
G25000506102	1980		1		1	Massachusetts	25			Bristol	5		50			6102											State: 25 County: 005 Tract: 6102	290	304	709	830	12	13	61	7
G25000506111	1980		1		1	Massachusetts	25		6480	Bristol	5		65			6111				80							State: 25 County: 005 Tract: 6111	151	205	492	558	9	10	18	0
G25000506112	1980		1		1	Massachusetts	25		6480	Bristol	5		65		9999	6112				80							State: 25 County: 005 Tract: 6112	122	187	539	629	17	18	40	23
G25000506121	1980		1		1	Massachusetts	25			Bristol	5		70			6121											State: 25 County: 005 Tract: 6121	89	138	239	389	5	0	20	5
G25000506122	1980		1		1	Massachusetts	25			Bristol	5		70			6122											State: 25 County: 005 Tract: 6122	220	177	581	509	18	6	32	26
G25000506131	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6131											State: 25 County: 005 Tract: 6131	92	120	286	709	0	4	12	42
G25000506132	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6132											State: 25 County: 005 Tract: 6132	14	10	16	33	0	0	0	0
G25000506133	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6133											State: 25 County: 005 Tract: 6133	163	149	527	615	34	7	30	23
G25000506134	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6134											State: 25 County: 005 Tract: 6134	0	0	0	0	0	0	0	0
G25000506135	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6135											State: 25 County: 005 Tract: 6135	0	4	0	3	6	0	0	0
G25000506136	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6136											State: 25 County: 005 Tract: 6136	51	132	217	440	0	33	32	50
G25000506137	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6137											State: 25 County: 005 Tract: 6137	110	122	215	535	6	31	35	37
G25000506138	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6138											State: 25 County: 005 Tract: 6138	74	134	292	547	0	54	70	24
G25000506139	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6139											State: 25 County: 005 Tract: 6139	190	210	544	942	70	27	82	39
G25000506140	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6140											State: 25 County: 005 Tract: 6140	146	153	280	484	47	64	44	27
G25000506141	1980		1		1	Massachusetts	25			Bristol	5		95		4220	6141											State: 25 County: 005 Tract: 6141	240	255	628	862	16	37	78	36
G25000506151	1980		1		1	Massachusetts	25		2480	Bristol	5		25			6151				80							State: 25 County: 005 Tract: 6151	131	128	490	640	12	0	24	22
G25000506161	1980		1		1	Massachusetts	25			Bristol	5		15			6161											State: 25 County: 005 Tract: 6161	87	118	228	273	6	2	26	6
G25000506171	1980		1		1	Massachusetts	25		5400	Bristol	5		45			6171											State: 25 County: 005 Tract: 6171	205	229	669	682	7	47	58	24
G25000506301	1980		1		1	Massachusetts	25		6480	Bristol	5		60			6301				80							State: 25 County: 005 Tract: 6301	188	337	659	1077	37	52	65	50
G25000506302	1980		1		1	Massachusetts	25		6480	Bristol	5		60			6302				80							State: 25 County: 005 Tract: 6302	365	423	1088	1206	32	10	35	12
G25000506311	1980		1		1	Massachusetts	25		6480	Bristol	5		10		210	6311				80							State: 25 County: 005 Tract: 6311	110	156	501	861	10	24	34	36
G25000506312	1980		1		1	Massachusetts	25		6480	Bristol	5		10		210	6312				80							State: 25 County: 005 Tract: 6312	109	115	393	569	13	11	22	0
G25000506313	1980		1		1	Massachusetts	25		6480	Bristol	5		10		210	6313				80							State: 25 County: 005 Tract: 6313	69	89	388	531	11	10	23	0
G25000506314	1980		1		1	Massachusetts	25		6480	Bristol	5		10		210	6314				80							State: 25 County: 005 Tract: 6314	46	92	186	193	15	28	8	15
G25000506315	1980		1		1	Massachusetts	25		6480	Bristol	5		10		210	6315				80							State: 25 County: 005 Tract: 6315	63	137	213	365	0	7	12	14
