GISJOIN	YEAR	ANRCA	RES_ONLYA	TRUSTA	AIANHH	AIANHHA	RES_TRSTA	BLOCKA	BLCK_GRPA	TRACTA	CDA	C_CITYA	COUNTY	COUNTYA	CTY_SUB	CTY_SUBA	DIVISION	DIVISIONA	MSA_CMSA	MSA_CMSAA	PLACE	PLACEA	PMSA	PMSAA	REGION	REGIONA	STATE	STATEA	URBRURALA	URB_AREA	URB_AREAA	CD103A	ANPSADPI	ET8001	ET8002	ET8003	ET8004	ET8005	ET8006	ET8007	ET8008	ET8009	ET8010
G250001001011	1990								1	101			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 1	18	20	29	29	2	3	10	1	5	10
G250001001012	1990								2	101			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 2	55	48	29	43	7	0	18	10	33	24
G250001001013	1990								3	101			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 3	96	126	33	80	2	2	15	11	36	33
G250001001014	1990								4	101			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 4	77	98	34	45	2	5	15	13	20	24
G250001001015	1990								5	101			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 5	149	107	34	89	4	7	24	10	51	33
G250001001016	1990								6	101			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 6	59	91	14	37	0	5	10	10	24	22
G250001001021	1990								1	102			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 1	0	0	0	0	0	0	0	0	0	0
G250001001022	1990								2	102			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 2	28	40	80	95	3	5	8	12	21	10
G250001001023	1990								3	102			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 3	35	35	41	114	1	9	10	9	15	14
G250001001024	1990								4	102			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 4	12	30	13	41	2	2	5	4	2	3
G250001001025	1990								5	102			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 5	25	31	39	57	3	2	13	4	11	6
G250001001026	1990								6	102			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 6	30	50	30	64	1	1	13	12	12	8
G250001001027	1990								7	102			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 7	26	49	19	35	1	3	11	11	6	7
G250001001028	1990								8	102			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 8	36	59	85	114	3	4	25	12	8	7
G250001001029	1990								9	102			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 9	23	31	34	83	2	2	4	7	6	4
G250001001031	1990								1	103			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 1	13	27	37	66	3	2	7	5	6	6
G250001001032	1990								2	103			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 2	12	35	59	106	3	1	14	14	6	5
G250001001033	1990								3	103			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 3	17	21	19	41	2	1	9	4	8	1
G250001001034	1990								4	103			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 4	18	35	25	73	3	2	13	4	5	10
G250001001035	1990								5	103			Barnstable	1				1		9999				9999		1	Massachusetts	25					BG 5	10	28	16	52	1	1	8	3	0	5
