GISJOIN	YEAR	REGION	REGIONA	DIVISION	DIVISIONA	STATE	STATEA	COUNTY	COUNTYA	CTY_SUB	CTY_SUBA	PLACE	PLACEA	TRACTA	TRBL_CTA	TRBL_BGA	BLCK_GRPA	C_CITYA	TRUSTA	RES_ONLYA	AIANHH	AIANHHA	TRBL_SUBA	ANRCA	MSA_CMSA	MSA_CMSAA	PMSA	PMSAA	NECMA	NECMAA	URB_AREA	URB_AREAA	URBRURALA	CD106A	CD108A	CD109A	ZIP3A	ZCTAA	NAME	GIO001	GIO002	GIO003	GIO004	GIO005	GIO006
G2500010000000	2000		1		1	Massachusetts	25	Barnstable	1					0												9999		9999		743									Census Tract 0	0	0	0	0	0	0
G2500010010100	2000		1		1	Massachusetts	25	Barnstable	1					10100												9999		9999		743									Census Tract 101	91	234	40	15	43	34
G2500010010200	2000		1		1	Massachusetts	25	Barnstable	1					10200												9999		9999		743									Census Tract 102	349	665	25	38	107	77
G2500010010300	2000		1		1	Massachusetts	25	Barnstable	1					10300												740		9999		743									Census Tract 103	362	950	34	47	138	100
G2500010010400	2000		1		1	Massachusetts	25	Barnstable	1					10400												740		9999		743									Census Tract 104	177	522	31	6	37	41
G2500010010500	2000		1		1	Massachusetts	25	Barnstable	1					10500												740		9999		743									Census Tract 105	201	683	7	21	32	27
G2500010010600	2000		1		1	Massachusetts	25	Barnstable	1					10600												740		9999		743									Census Tract 106	155	660	4	25	29	65
G2500010010700	2000		1		1	Massachusetts	25	Barnstable	1					10700												740		9999		743									Census Tract 107	231	591	19	12	45	51
G2500010010800	2000		1		1	Massachusetts	25	Barnstable	1					10800												740		9999		743									Census Tract 108	416	808	6	35	73	72
G2500010010900	2000		1		1	Massachusetts	25	Barnstable	1					10900												740		9999		743									Census Tract 109	422	757	16	21	147	74
G2500010011000	2000		1		1	Massachusetts	25	Barnstable	1					11000												740		9999		743									Census Tract 110	325	588	18	26	65	136
G2500010011100	2000		1		1	Massachusetts	25	Barnstable	1					11100												740		9999		743									Census Tract 111	349	776	25	32	72	105
G2500010011200	2000		1		1	Massachusetts	25	Barnstable	1					11200												740		9999		743									Census Tract 112	190	665	35	22	73	25
G2500010011300	2000		1		1	Massachusetts	25	Barnstable	1					11300												740		9999		743									Census Tract 113	218	584	0	18	33	61
G2500010011400	2000		1		1	Massachusetts	25	Barnstable	1					11400												740		9999		743									Census Tract 114	215	752	18	8	74	63
G2500010011500	2000		1		1	Massachusetts	25	Barnstable	1					11500												740		9999		743									Census Tract 115	321	578	47	43	74	84
G2500010011600	2000		1		1	Massachusetts	25	Barnstable	1					11600												740		9999		743									Census Tract 116	174	475	29	27	105	61
G2500010011700	2000		1		1	Massachusetts	25	Barnstable	1					11700												740		9999		743									Census Tract 117	117	338	13	17	48	42
G2500010011800	2000		1		1	Massachusetts	25	Barnstable	1					11800												740		9999		743									Census Tract 118	481	1306	11	47	74	107
G2500010012000	2000		1		1	Massachusetts	25	Barnstable	1					12000												740		9999		743									Census Tract 120	472	1459	69	60	203	223
G2500010012100	2000		1		1	Massachusetts	25	Barnstable	1					12100												740		9999		743									Census Tract 121	630	1203	31	80	241	234
G2500010012200	2000		1		1	Massachusetts	25	Barnstable	1					12200												740		9999		743									Census Tract 122	504	866	25	23	47	55
G2500010012300	2000		1		1	Massachusetts	25	Barnstable	1					12300												740		9999		743									Census Tract 123	34	40	0	8	45	23
G2500010012400	2000		1		1	Massachusetts	25	Barnstable	1					12400												740		9999		743									Census Tract 124	83	155	25	38	190	46
G2500010012500	2000		1		1	Massachusetts	25	Barnstable	1					12500												740		9999		743									Census Tract 125	210	391	43	54	89	105
G2500010012600	2000		1		1	Massachusetts	25	Barnstable	1					12600												740		9999		743									Census Tract 126	567	737	41	70	341	201
G2500010012700	2000		1		1	Massachusetts	25	Barnstable	1					12700												740		9999		743									Census Tract 127	416	657	8	27	117	157
G2500010012800	2000		1		1	Massachusetts	25	Barnstable	1					12800												740		9999		743									Census Tract 128	297	632	18	24	64	109
G2500010012900	2000		1		1	Massachusetts	25	Barnstable	1					12900												740		9999		743									Census Tract 129	443	648	0	32	80	42
G2500010013000	2000		1		1	Massachusetts	25	Barnstable	1					13000												740		9999		743									Census Tract 130	237	686	14	24	38	63
G2500010013100	2000		1		1	Massachusetts	25	Barnstable	1					13100												740		9999		743									Census Tract 131	777	690	11	26	174	81
G2500010013200	2000		1		1	Massachusetts	25	Barnstable	1					13200												740		9999		743									Census Tract 132	504	780	10	40	79	52
G2500010013300	2000		1		1	Massachusetts	25	Barnstable	1					13300												740		9999		743									Census Tract 133	193	518	43	10	71	79
G2500010013400	2000		1		1	Massachusetts	25	Barnstable	1					13400												740		9999		743									Census Tract 134	408	584	17	13	53	56
G2500010013500	2000		1		1	Massachusetts	25	Barnstable	1					13500												740		9999		743									Census Tract 135	910	755	23	15	112	47
G2500010013600	2000		1		1	Massachusetts	25	Barnstable	1					13600												740		9999		743									Census Tract 136	890	570	20	12	127	37
G2500010013700	2000		1		1	Massachusetts	25	Barnstable	1					13700												9999		9999		743									Census Tract 137	236	451	22	23	126	56
G2500010013800	2000		1		1	Massachusetts	25	Barnstable	1					13800												9999		9999		743									Census Tract 138	410	599	30	16	159	72
G2500010013900	2000		1		1	Massachusetts	25	Barnstable	1					13900												9999		9999		743									Census Tract 139	321	657	24	72	125	60
G2500010014000	2000		1		1	Massachusetts	25	Barnstable	1					14000												9999		9999		743									Census Tract 140	260	635	30	36	54	96
G2500010014100	2000		1		1	Massachusetts	25	Barnstable	1					14100												####		9999		743									Census Tract 141	299	81	14	0	28	6
G2500010014300	2000		1		1	Massachusetts	25	Barnstable	1					14300												9999		9999		743									Census Tract 143	428	819	4	5	66	44
G2500010014400	2000		1		1	Massachusetts	25	Barnstable	1					14400												9999		9999		743									Census Tract 144	686	854	24	46	138	91
G2500010014500	2000		1		1	Massachusetts	25	Barnstable	1					14500												9999		9999		743									Census Tract 145	543	670	64	44	130	99
G2500010014600	2000		1		1	Massachusetts	25	Barnstable	1					14600												9999		9999		743									Census Tract 146	281	650	44	51	137	65
G2500010014700	2000		1		1	Massachusetts	25	Barnstable	1					14700												9999		9999		743									Census Tract 147	210	677	23	40	106	72
G2500010014800	2000		1		1	Massachusetts	25	Barnstable	1					14800												9999		9999		743									Census Tract 148	162	549	12	35	56	47
G2500010014900	2000		1		1	Massachusetts	25	Barnstable	1					14900												9999		9999		743									Census Tract 149	246	669	8	27	68	54
G2500010015000	2000		1		1	Massachusetts	25	Barnstable	1					15000												740		9999		743									Census Tract 150	709	746	24	52	279	127
G2500010015100	2000		1		1	Massachusetts	25	Barnstable	1					15100												740		9999		743									Census Tract 151	323	457	6	6	118	31
G2500010015200	2000		1		1	Massachusetts	25	Barnstable	1					15200												740		9999		743									Census Tract 152	163	533	23	6	5	24
